,estacion,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,usuarios,estaciones,cambios,carga_restante,usuarios_be
410,15206,0.22950819672131148,0.0,0.0,0.0,0.0,0.0,0.6557377049180327,0.19672131147540983,0.22950819672131148,0.0,0.0,0.0,0.0,0.29508196721311475,0.16393442622950818,0.29508196721311475,0.6885245901639344,0.6229508196721312,0.36065573770491804,0.5901639344262295,0.0,0.19672131147540983,0.0,0.0,810,50,4.524590163934426,14.050715652164701,15
411,15207,0.0,0.0,0.0,0.0,0.0,0.0,0.5573770491803278,0.16393442622950818,0.13114754098360656,0.13114754098360656,0.0,0.0,0.0,0.03278688524590164,0.0,0.09836065573770492,0.0,0.06557377049180328,0.0,0.0,0.0,0.0,0.0,0.0,810,50,1.180327868852459,13.525267687604801,9
412,15208,0.0,0.0,0.0,0.0,0.16393442622950818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19672131147540983,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.6229508196721312,0.03278688524590164,0.6885245901639344,810,50,1.7377049180327868,26.722937572595022,7
413,15209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13114754098360656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.6229508196721312,0.0,0.0,0.0,0.0,810,50,0.7868852459016393,33.39811760131751,3
414,15210,0.0,0.0,0.0,0.0,0.0,0.0,0.09836065573770492,0.0,0.0,0.03278688524590164,0.06557377049180328,0.0,0.0,0.0,0.0,0.16393442622950818,0.03278688524590164,0.0,0.32786885245901637,0.0,0.0,0.0,0.0,0.0,810,50,0.7213114754098361,23.132712230332892,7
415,15211,0.0,0.0,0.0,0.0,0.0,0.09836065573770492,0.0,0.6557377049180327,0.6557377049180327,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,810,50,1.5081967213114753,13.335412252686897,10
416,15212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9180327868852459,0.0,0.32786885245901637,0.0,0.0,0.0,0.0,0.0,0.0,810,50,1.2459016393442623,10.435512244889624,3
417,15213,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.19672131147540983,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.0,0.13114754098360656,0.0,0.0,0.0,0.0,0.0,0.0,0.6229508196721312,0.0,810,50,1.0819672131147542,24.95592840960121,5
418,15214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810,50,0.03278688524590164,0.1,1
419,15215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13114754098360656,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.09836065573770492,0.32786885245901637,0.0,0.0,0.0,0.0,0.0,810,50,0.5901639344262295,7.379396895223318,4
420,15216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810,50,0.03278688524590164,0.1,1
421,15217,0.06557377049180328,0.0,0.13114754098360656,0.0,0.03278688524590164,0.16393442622950818,0.9180327868852459,0.13114754098360656,0.03278688524590164,0.39344262295081966,0.0,0.0,0.32786885245901637,0.06557377049180328,0.8524590163934426,0.7540983606557377,1.180327868852459,0.22950819672131148,0.36065573770491804,0.7540983606557377,0.4918032786885246,0.09836065573770492,0.32786885245901637,0.0,810,50,7.311475409836065,8.49116607926737,36
422,15218,0.0,0.0,0.0,0.0,0.0,0.0,0.6557377049180327,0.5901639344262295,0.0,0.6557377049180327,0.0,0.0,0.0,0.29508196721311475,0.22950819672131148,0.5245901639344263,1.6065573770491803,0.819672131147541,0.26229508196721313,0.0,0.13114754098360656,0.0,0.22950819672131148,0.0,810,50,6.0,26.262144470962408,24
423,15219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13114754098360656,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810,50,0.22950819672131148,18.57989436575234,2
424,15220,0.22950819672131148,0.0,0.32786885245901637,0.0,0.39344262295081966,0.0,1.278688524590164,0.32786885245901637,0.7868852459016393,0.7213114754098361,0.0,0.0,0.13114754098360656,0.16393442622950818,1.2131147540983607,2.19672131147541,1.278688524590164,1.8032786885245902,1.278688524590164,0.5245901639344263,0.0,0.13114754098360656,0.4262295081967213,0.0,810,50,13.21311475409836,18.203200905469878,69
425,15221,0.0,0.03278688524590164,0.0,0.0,0.0,0.13114754098360656,0.13114754098360656,0.13114754098360656,0.09836065573770492,0.09836065573770492,0.0,0.0,0.0,0.36065573770491804,0.0,0.32786885245901637,0.9180327868852459,0.03278688524590164,0.0,0.29508196721311475,0.0,0.0,0.0,0.0,810,50,2.557377049180328,10.659085659411799,16
426,15222,0.0,0.0,0.0,0.0,0.8524590163934426,0.13114754098360656,1.540983606557377,1.8360655737704918,0.5245901639344263,0.19672131147540983,0.16393442622950818,0.19672131147540983,0.0,0.26229508196721313,0.16393442622950818,0.7213114754098361,2.459016393442623,1.4754098360655739,1.4098360655737705,0.0,0.26229508196721313,0.6229508196721312,0.19672131147540983,0.22950819672131148,810,50,13.245901639344263,6.59013585621512,55
427,15223,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.13114754098360656,0.0,0.0,0.0,0.0,0.0,810,50,0.22950819672131148,13.470585055874109,4
428,15224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.6229508196721312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810,50,0.6557377049180327,17.124144066128217,2
