,usuarios,estaciones,cambios,carga_restante,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
94,1580,50,458.95081967213116,14.07768313866649,4.721311475409836,5.934426229508197,4.459016393442623,4.622950819672131,6.032786885245901,18.39344262295082,43.60655737704918,33.63934426229508,28.262295081967213,17.016393442622952,8.39344262295082,3.5081967213114753,4.819672131147541,13.868852459016393,24.983606557377048,43.01639344262295,52.557377049180324,45.60655737704918,30.0327868852459,23.442622950819672,8.885245901639344,10.688524590163935,9.704918032786885,12.754098360655737
95,2240,50,621.4098360655738,14.439129523627289,5.540983606557377,7.409836065573771,6.590163934426229,5.114754098360656,7.704918032786885,27.278688524590162,55.90163934426229,45.90163934426229,39.83606557377049,21.704918032786885,10.426229508196721,7.377049180327869,6.983606557377049,21.21311475409836,34.26229508196721,58.36065573770492,75.31147540983606,55.24590163934426,35.40983606557377,31.672131147540984,13.672131147540984,17.40983606557377,15.311475409836065,15.770491803278688
96,2020,50,570.6229508196722,14.468268513440652,5.540983606557377,6.39344262295082,6.524590163934426,5.114754098360656,7.016393442622951,25.114754098360656,52.950819672131146,42.81967213114754,36.19672131147541,19.18032786885246,9.80327868852459,6.590163934426229,6.0,19.868852459016395,31.868852459016395,51.704918032786885,68.1639344262295,53.114754098360656,32.59016393442623,28.852459016393443,11.147540983606557,15.737704918032787,13.475409836065573,14.852459016393443
97,2080,50,585.1147540983607,14.426935805246647,5.540983606557377,6.39344262295082,6.524590163934426,5.114754098360656,7.016393442622951,25.311475409836067,54.91803278688525,43.01639344262295,38.26229508196721,19.24590163934426,10.39344262295082,6.688524590163935,6.032786885245901,20.131147540983605,32.950819672131146,53.83606557377049,68.88524590163935,53.34426229508197,33.50819672131148,29.24590163934426,12.524590163934427,16.721311475409838,14.327868852459016,15.180327868852459
98,730,50,228.13114754098362,13.61237471136148,1.8032786885245902,2.1311475409836067,2.5901639344262297,2.0327868852459017,2.8852459016393444,8.360655737704919,23.147540983606557,18.721311475409838,15.540983606557377,7.508196721311475,2.459016393442623,1.4754098360655739,1.2459016393442623,6.163934426229508,8.950819672131148,26.360655737704917,29.311475409836067,21.114754098360656,15.37704918032787,9.80327868852459,3.7704918032786887,5.967213114754099,5.60655737704918,5.80327868852459
99,1230,50,370.3606557377049,14.427474230132292,4.229508196721311,5.049180327868853,3.8688524590163933,3.0491803278688523,3.9672131147540983,13.737704918032787,36.721311475409834,25.540983606557376,24.852459016393443,13.081967213114755,5.377049180327869,2.1639344262295084,3.5737704918032787,10.098360655737705,18.78688524590164,39.540983606557376,43.114754098360656,35.34426229508197,27.081967213114755,16.19672131147541,7.639344262295082,9.081967213114755,9.37704918032787,8.885245901639344
100,1340,50,397.7704918032787,14.213852060847158,4.262295081967213,5.311475409836065,3.8688524590163933,3.737704918032787,4.590163934426229,15.60655737704918,39.57377049180328,28.39344262295082,25.278688524590162,14.0,6.721311475409836,2.1639344262295084,3.80327868852459,12.229508196721312,20.81967213114754,41.31147540983606,44.52459016393443,38.42622950819672,27.34426229508197,19.442622950819672,7.704918032786885,9.37704918032787,9.60655737704918,9.672131147540984
101,1430,50,421.9016393442623,14.264079536702162,4.655737704918033,5.311475409836065,3.8688524590163933,3.737704918032787,5.049180327868853,16.688524590163933,40.459016393442624,32.16393442622951,27.311475409836067,15.114754098360656,7.508196721311475,2.459016393442623,4.262295081967213,13.278688524590164,22.229508196721312,41.967213114754095,46.721311475409834,40.81967213114754,28.131147540983605,21.672131147540984,7.901639344262295,10.557377049180328,9.639344262295081,10.39344262295082
102,380,50,119.21311475409836,13.060273856631312,1.278688524590164,0.6229508196721312,1.2459016393442623,0.819672131147541,1.8688524590163935,4.065573770491803,12.754098360655737,9.967213114754099,8.065573770491802,3.2131147540983607,1.7049180327868851,0.5901639344262295,0.5573770491803278,4.426229508196721,4.426229508196721,11.770491803278688,16.885245901639344,11.60655737704918,5.508196721311475,6.39344262295082,2.1639344262295084,3.0491803278688523,3.1147540983606556,3.1147540983606556
103,1530,50,447.6393442622951,14.124976520734597,4.721311475409836,5.934426229508197,4.163934426229508,3.9672131147540983,5.80327868852459,18.16393442622951,42.91803278688525,33.14754098360656,28.098360655737704,16.491803278688526,7.573770491803279,3.278688524590164,4.491803278688525,13.639344262295081,24.491803278688526,42.295081967213115,50.16393442622951,44.885245901639344,30.491803278688526,22.524590163934427,8.491803278688524,10.59016393442623,9.672131147540984,11.639344262295081
104,190,50,62.39344262295082,12.539181388754093,1.1147540983606556,0.29508196721311475,0.6557377049180327,0.19672131147540983,1.1475409836065573,2.2950819672131146,5.377049180327869,4.950819672131147,3.4754098360655736,1.6065573770491803,1.2459016393442623,0.36065573770491804,0.19672131147540983,3.2131147540983607,2.0655737704918034,6.918032786885246,8.59016393442623,5.377049180327869,3.5737704918032787,4.590163934426229,1.0819672131147542,1.1475409836065573,1.8688524590163935,1.0491803278688525
105,210,50,68.78688524590164,12.598177247121813,1.1475409836065573,0.39344262295081966,0.8524590163934426,0.19672131147540983,1.1475409836065573,2.4262295081967213,6.950819672131147,5.475409836065574,3.80327868852459,1.7049180327868851,1.278688524590164,0.36065573770491804,0.19672131147540983,3.180327868852459,2.0655737704918034,7.508196721311475,9.934426229508198,6.032786885245901,3.540983606557377,5.278688524590164,1.2131147540983607,1.180327868852459,1.8360655737704918,1.0819672131147542
106,2250,50,623.344262295082,14.42664985336491,5.540983606557377,7.409836065573771,6.590163934426229,5.114754098360656,7.704918032786885,27.278688524590162,56.131147540983605,46.22950819672131,39.83606557377049,21.868852459016395,10.655737704918034,7.704918032786885,6.983606557377049,21.21311475409836,34.26229508196721,58.59016393442623,75.40983606557377,55.377049180327866,35.377049180327866,31.672131147540984,13.901639344262295,17.40983606557377,15.311475409836065,15.770491803278688
107,340,50,109.44262295081967,13.09895149074646,1.278688524590164,0.39344262295081966,0.8524590163934426,0.819672131147541,1.8360655737704918,3.2131147540983607,11.573770491803279,9.737704918032787,7.475409836065574,3.0163934426229506,1.5081967213114753,0.5573770491803278,0.4918032786885246,4.262295081967213,3.8688524590163933,11.475409836065573,14.98360655737705,11.081967213114755,5.377049180327869,6.032786885245901,2.0,2.2950819672131146,2.9508196721311477,2.360655737704918
